School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,5.89,8.6,14.5,3,1,1
Troy Buchanan,9.05,4.47,13.51,1,40,2
Lee's Summit,4.85,8.12,12.97,10,2,3
Oakville,4.87,6.98,11.84,9,4,4
Blue Springs South,4.34,6.99,11.33,19,3,5
Holt,5.81,5.34,11.16,4,30,6
Staley,4.89,6.24,11.12,8,14,7
Francis Howell,5.01,6.09,11.1,6,17,8
DeSoto,4.48,6.6,11.07,13,8,9
St. Dominic,5.79,5.09,10.88,5,33,10
Centralia,4.6,6.17,10.78,11,15,11
Ozark,4.21,6.43,10.64,22,11,12
Farmington,4.27,6.33,10.6,20,12,13
Blair Oaks,4.96,5.63,10.59,7,24,14
Parkway South,4.39,6.05,10.45,15,20,15
Lee's Summit West,3.55,6.83,10.38,31,6,16
Seckman,4.58,5.58,10.16,12,27,17
Hickman,3.43,6.72,10.14,34,7,18
Liberty North,4.35,5.72,10.07,18,21,19
Liberty,4.2,5.61,9.81,23,26,20
Ft. Zumwalt North,3.56,6.07,9.63,30,18,21
Fatima,4.46,5.14,9.6,14,31,22
Boonville,4.37,5.11,9.48,16,32,23
Lee's Summit North,3.84,5.61,9.46,28,25,24
Jefferson City,3.73,5.69,9.42,29,22,25
Lafayette (Wildwood),2.78,6.55,9.33,49,9,26
Platte County,3.15,6.16,9.31,38,16,27
Raymore-Peculiar,4.13,4.98,9.11,25,36,28
Warrenton,2.15,6.94,9.09,64,5,29
Windsor (Imperial),6.0,2.94,8.94,2,78,30
Belton,3.11,5.54,8.65,40,28,31
Monett,2.3,6.28,8.58,57,13,32
Eureka,2.05,6.5,8.56,67,10,33
Pleasant Hill,4.35,4.17,8.52,17,47,34
Republic,3.41,5.04,8.45,35,35,35
Kelly,3.9,4.27,8.17,27,45,36
Highland,3.06,4.72,7.78,42,38,37
Fox,4.02,3.7,7.72,26,60,38
Kirkwood,2.02,5.66,7.68,70,23,39
Kearney,2.22,5.07,7.29,61,34,40
Lutheran South,4.16,2.79,6.95,24,82,41
Park Hill South,3.12,3.78,6.9,39,57,42
Marquette,3.51,3.38,6.88,33,68,43
Cor Jesu Academy,2.99,3.77,6.77,43,58,44
Central (Park Hills),2.91,3.82,6.73,45,55,45
Bowling Green,1.08,5.48,6.56,110,29,46
North Callaway,1.61,4.94,6.55,87,37,47
Parkway West,3.08,3.45,6.54,41,66,48
North Platte,2.91,3.43,6.34,46,67,49
Parkway North,2.59,3.73,6.32,53,59,50
Notre Dame (Cape Girardeau),2.77,3.54,6.31,50,63,51
Jackson,2.78,3.3,6.09,48,71,52
Rockwood Summit,2.46,3.62,6.08,55,61,53
Harrisonville,1.66,4.4,6.06,84,42,54
Central (St. Joseph),3.25,2.75,6.0,37,83,55
Webster Groves,1.83,4.1,5.93,77,48,56
Washington,1.92,4.0,5.92,71,50,57
Bolivar,2.04,3.88,5.92,69,53,58
Portageville,-0.36,6.06,5.7,179,19,59
Benton,3.51,2.1,5.61,32,111,60
Cameron,1.08,4.52,5.61,109,39,61
Winfield,4.25,1.17,5.43,21,145,62
Francis Howell Central,2.85,2.5,5.34,47,93,63
Knox County,1.06,4.23,5.29,111,46,64
Slater,0.86,4.43,5.29,121,41,65
Battle,1.49,3.78,5.27,92,56,66
Ft. Zumwalt West,2.91,2.27,5.19,44,106,67
Dora,1.64,3.5,5.15,85,65,68
Canton,2.24,2.9,5.14,60,80,69
Festus,2.48,2.64,5.11,54,88,70
Southern Boone,2.64,2.33,4.97,51,101,71
Norborne,2.36,2.57,4.93,56,91,72
Hallsville,1.75,3.18,4.92,81,74,73
Timberland,2.62,2.28,4.9,52,105,74
Mexico,2.08,2.72,4.8,66,85,75
Brookfield,1.21,3.55,4.75,100,62,76
Eldon,1.19,3.35,4.54,103,69,77
Nixa,1.87,2.62,4.49,75,89,78
Pleasant Hope,2.18,2.3,4.48,63,103,79
Montgomery County,1.8,2.67,4.47,79,87,80
Palmyra,0.48,3.99,4.47,144,51,81
McDonald County,0.49,3.87,4.36,142,54,82
North County,-0.1,4.35,4.25,162,43,83
Seneca,0.21,4.03,4.24,150,49,84
Raytown,0.97,3.22,4.2,114,73,85
Trenton,0.8,3.34,4.14,123,70,86
Logan-Rogersville,1.24,2.85,4.09,99,81,87
Lindbergh,1.53,2.49,4.02,91,95,88
Ritenour,1.57,2.39,3.95,89,100,89
Park Hill,1.03,2.91,3.94,113,79,90
Hillsboro,1.42,2.5,3.91,94,94,91
Helias Catholic,1.56,2.25,3.81,90,107,92
Penney,0.3,3.51,3.81,148,64,93
Orchard Farm,2.21,1.56,3.78,62,130,94
Eugene,0.63,3.12,3.74,132,75,95
Grain Valley,2.04,1.68,3.72,68,125,96
West Platte,-0.6,4.29,3.69,187,44,97
Pacific,1.14,2.4,3.55,105,99,98
Ft. Zumwalt East,3.39,0.16,3.54,36,179,99
Francis Howell North,1.08,2.42,3.51,108,97,100
Iberia,1.14,2.31,3.44,106,102,101
Northwest (Cedar Hill),2.29,1.1,3.39,58,148,102
Bishop LeBlond,0.68,2.71,3.38,129,86,103
Oak Grove,2.25,1.11,3.36,59,147,104
Kirksville,1.18,2.18,3.35,104,109,105
Lafayette (St. Joseph),0.74,2.55,3.28,126,92,106
Joplin,1.48,1.72,3.19,93,124,107
Willard,-0.75,3.93,3.18,193,52,108
Nevada,1.57,1.58,3.15,88,129,109
Naylor,0.04,3.07,3.12,161,76,110
Lawson,1.2,1.91,3.1,102,117,111
Excelsior Springs,0.51,2.59,3.1,140,90,112
Central (Cape Girardeau),1.84,1.18,3.02,76,144,113
Richmond,0.91,1.98,2.9,116,114,114
Union,1.64,1.26,2.9,86,140,115
Marshfield,0.48,2.42,2.9,143,98,116
Webb City,2.15,0.69,2.84,65,167,117
Ft. Zumwalt South,1.69,1.13,2.82,82,146,118
Macon,0.58,2.2,2.79,137,108,119
Duchesne,1.88,0.9,2.78,74,156,120
Hannibal,1.89,0.81,2.71,72,160,121
Gallatin,0.83,1.85,2.69,122,118,122
Carl Junction,0.75,1.92,2.67,125,116,123
Silex,0.43,2.16,2.59,146,110,124
Linn,0.66,1.75,2.41,130,121,125
Warrensburg,1.3,1.03,2.34,96,151,126
Clopton,-0.13,2.48,2.34,165,96,127
Louisiana,-1.02,3.27,2.25,211,72,128
Clark County,1.06,1.19,2.25,112,143,129
St. James,0.91,1.31,2.22,118,138,130
Northeast (Cairo),1.35,0.81,2.16,95,161,131
New Bloomfield,0.1,2.04,2.14,159,113,132
Mansfield,1.79,0.34,2.13,80,172,133
Schuyler County,0.59,1.53,2.12,136,132,134
Chillicothe,0.12,1.96,2.08,157,115,135
Ste. Genevieve,1.13,0.94,2.08,107,155,136
St. Teresa's Academy,0.51,1.55,2.06,139,131,137
Moberly,0.24,1.76,2.0,149,120,138
Putnam County,0.88,1.09,1.97,120,149,139
St. Joseph's Academy,0.2,1.75,1.95,151,123,140
New Franklin,0.15,1.78,1.93,154,119,141
Pattonville,-0.16,2.09,1.93,167,112,142
Waynesville,0.45,1.4,1.85,145,133,143
Polo,-1.21,3.01,1.8,214,77,144
St. Pius X (Festus),1.88,-0.14,1.73,73,183,145
Fort Osage,0.91,0.69,1.61,115,165,146
South Shelby,0.19,1.34,1.53,152,135,147
East Newton,1.2,0.32,1.52,101,173,148
Pilot Grove,0.65,0.83,1.48,131,159,149
Lathrop,0.54,0.8,1.34,138,162,150
Camdenton,1.66,-0.37,1.3,83,191,151
Scotland County,-0.17,1.36,1.18,168,134,152
Hazelwood West,0.79,0.35,1.13,124,171,153
Notre Dame (St. Louis),-1.63,2.74,1.11,233,84,154
Dixon,1.25,-0.16,1.09,98,184,155
Poplar Bluff,-0.2,1.26,1.06,169,141,156
West Plains,-0.21,1.23,1.02,170,142,157
Kickapoo,0.7,0.29,0.99,127,175,158
William Chrisman,-1.34,2.3,0.96,220,104,159
Carrollton,-0.69,1.61,0.92,191,127,160
Westminster Christian Academy,0.36,0.42,0.78,147,169,161
Oak Park,-1.0,1.75,0.75,210,122,162
Lexington,-0.94,1.64,0.7,206,126,163
Holden,-0.35,1.01,0.65,178,153,164
John F. Kennedy,-0.34,0.89,0.55,176,157,165
Chaffee,-0.58,1.03,0.45,184,152,166
Monroe City,-0.88,1.32,0.43,200,137,167
Vienna,-0.27,0.69,0.42,175,166,168
East Carter,-0.9,1.31,0.4,203,139,169
Affton,-0.65,1.04,0.39,189,150,170
Hartville,1.27,-0.9,0.37,97,203,171
Jefferson (Festus),-1.03,1.34,0.31,212,136,172
