School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,5.89,8.6,14.5,2,1,1
Troy Buchanan,9.05,4.47,13.51,1,26,2
Lee's Summit,4.85,8.12,12.97,7,2,3
Oakville,4.87,6.98,11.84,6,4,4
Blue Springs South,4.34,6.99,11.33,11,3,5
Holt,5.81,5.34,11.16,3,22,6
Staley,4.89,6.24,11.12,5,11,7
Francis Howell,5.01,6.09,11.1,4,12,8
Ozark,4.21,6.43,10.64,13,9,9
Farmington,4.27,6.33,10.6,12,10,10
Parkway South,4.39,6.05,10.45,9,14,11
Lee's Summit West,3.55,6.83,10.38,20,5,12
Seckman,4.58,5.58,10.16,8,20,13
Hickman,3.43,6.72,10.14,22,6,14
Liberty North,4.35,5.72,10.07,10,15,15
Liberty,4.2,5.61,9.81,14,19,16
Ft. Zumwalt North,3.56,6.07,9.63,19,13,17
Lee's Summit North,3.84,5.61,9.46,17,18,18
Jefferson City,3.73,5.69,9.42,18,16,19
Lafayette (Wildwood),2.78,6.55,9.33,33,7,20
Raymore-Peculiar,4.13,4.98,9.11,15,25,21
Belton,3.11,5.54,8.65,27,21,22
Eureka,2.05,6.5,8.56,40,8,23
Republic,3.41,5.04,8.45,23,24,24
Fox,4.02,3.7,7.72,16,35,25
Kirkwood,2.02,5.66,7.68,41,17,26
Kearney,2.22,5.07,7.29,38,23,27
Park Hill South,3.12,3.78,6.9,26,32,28
Marquette,3.51,3.38,6.88,21,38,29
Cor Jesu Academy,2.99,3.77,6.77,29,33,30
Parkway West,3.08,3.45,6.54,28,37,31
Parkway North,2.59,3.73,6.32,35,34,32
Jackson,2.78,3.3,6.09,32,39,33
Rockwood Summit,2.46,3.62,6.08,36,36,34
Central (St. Joseph),3.25,2.75,6.0,25,42,35
Webster Groves,1.83,4.1,5.93,45,27,36
Washington,1.92,4.0,5.92,42,28,37
Francis Howell Central,2.85,2.5,5.34,31,44,38
Battle,1.49,3.78,5.27,50,31,39
Ft. Zumwalt West,2.91,2.27,5.19,30,51,40
Timberland,2.62,2.28,4.9,34,50,41
Nixa,1.87,2.62,4.49,43,43,42
McDonald County,0.49,3.87,4.36,62,30,43
Raytown,0.97,3.22,4.2,55,40,44
Lindbergh,1.53,2.49,4.02,49,46,45
Ritenour,1.57,2.39,3.95,48,48,46
Park Hill,1.03,2.91,3.94,54,41,47
Hillsboro,1.42,2.5,3.91,52,45,48
Ft. Zumwalt East,3.39,0.16,3.54,24,67,49
Francis Howell North,1.08,2.42,3.51,53,47,50
Northwest (Cedar Hill),2.29,1.1,3.39,37,61,51
Joplin,1.48,1.72,3.19,51,55,52
Willard,-0.75,3.93,3.18,73,29,53
Central (Cape Girardeau),1.84,1.18,3.02,44,59,54
Webb City,2.15,0.69,2.84,39,63,55
Ft. Zumwalt South,1.69,1.13,2.82,46,60,56
St. Teresa's Academy,0.51,1.55,2.06,61,56,57
St. Joseph's Academy,0.2,1.75,1.95,64,54,58
Pattonville,-0.16,2.09,1.93,69,52,59
Waynesville,0.45,1.4,1.85,63,57,60
Fort Osage,0.91,0.69,1.61,56,62,61
Camdenton,1.66,-0.37,1.3,47,69,62
Hazelwood West,0.79,0.35,1.13,59,65,63
Poplar Bluff,-0.2,1.26,1.06,70,58,64
Kickapoo,0.7,0.29,0.99,60,66,65
William Chrisman,-1.34,2.3,0.96,78,49,66
Oak Park,-1.0,1.75,0.75,76,53,67
Notre Dame de Sion,0.91,-0.63,0.28,57,70,68
Nerinx Hall,-0.22,0.39,0.17,72,64,69
McCluer North,0.13,-0.05,0.08,66,68,70
Branson,0.08,-1.25,-1.18,67,74,71
Parkway Central,-0.15,-1.11,-1.27,68,72,72
Ursuline Academy,-0.22,-1.21,-1.43,71,73,73
Mehlville,0.89,-2.74,-1.85,58,78,74
Carthage,-0.87,-1.01,-1.88,75,71,75
Lebanon,0.15,-2.27,-2.11,65,77,76
Winnetonka,-1.52,-1.81,-3.33,79,75,77
Grandview,-1.16,-3.5,-4.66,77,79,78
Rolla,-0.78,-4.15,-4.93,74,83,79
Raytown South,-2.2,-4.09,-6.29,80,81,80
Hazelwood Central,-2.81,-4.15,-6.96,81,82,81
Central (Springfield),-5.42,-1.85,-7.27,87,76,82
Parkview,-4.18,-3.58,-7.76,83,80,83
North Kansas City,-3.07,-6.29,-9.35,82,86,84
Ladue Horton Watkins,-5.15,-4.29,-9.44,86,84,85
Glendale,-4.25,-6.11,-10.36,84,85,86
McCluer,-4.72,-8.75,-13.48,85,87,87
Ruskin,-9.88,-10.8,-20.68,88,88,88
Hazelwood East,-12.61,-16.38,-28.99,90,89,89
Gateway,-11.72,-19.74,-31.46,89,90,90
