Date,Home Team,Home Score,Away Team,Away Score
2014-08-05,Carnahan,24,Soldan International Studies,17
2014-08-22,Dora,28,Alton,0
2014-08-22,John F. Kennedy,2,Bishop DuBourg,4
2014-08-22,Hartville,15,Dadeville,9
2014-08-22,Visitation Academy,4,Duchesne,6
2014-08-22,Battle,2,Fatima,6
2014-08-22,Kickapoo,1,Nixa,9
2014-08-22,Northeast Nodaway,0,North Harrison,10
2014-08-22,Cor Jesu Academy,4,Northwest (Cedar Hill),1
2014-08-22,Blue Springs,8,Park Hill South,1
2014-08-22,Lutheran St. Charles,17,Principia,3
2014-08-22,Rolla,2,St. James,3
2014-08-22,Winfield,1,Troy Buchanan,16
2014-08-22,Iberia,9,Vienna,8
2014-08-22,Hillcrest,0,Willard,6
2014-08-22,North Kansas City,0,Winnetonka,10
2014-08-23,Reeds Spring,14,Ava,3
2014-08-23,Cassville,9,Ava,4
2014-08-23,Hollister,14,Ava,13
2014-08-23,New Haven,3,Belle,6
2014-08-23,Linn,9,Belle,0
2014-08-23,Lee's Summit West,5,Belton,4
2014-08-23,Raytown,1,Belton,6
2014-08-23,Keytesville,9,Bevier,2
2014-08-23,Higbee,4,Bevier,1
2014-08-23,Pleasant Hill,5,Blue Springs South,8
2014-08-23,Oak Park,0,Blue Springs South,12
2014-08-23,Russellville,0,Boonville,25
2014-08-23,Pilot Grove,0,Boonville,15
2014-08-23,Eugene,2,Boonville,5
2014-08-23,Pleasant Hope,12,Branson,0
2014-08-23,Logan-Rogersville,8,Buffalo,1
2014-08-23,Branson,7,Buffalo,8
2014-08-23,Camdenton,14,Buffalo,2
2014-08-23,Glendale,0,Camdenton,17
2014-08-23,Iberia,10,Camdenton,12
2014-08-23,Versailles,0,Carrollton,6
2014-08-23,Fayette,1,Carrollton,9
2014-08-23,Marshall,7,Carrollton,6
2014-08-23,Reeds Spring,3,Cassville,8
2014-08-23,Hollister,0,Cassville,12
2014-08-23,St. Joseph's Academy,2,Central (Park Hills),4
2014-08-23,Pacific,6,Central (Park Hills),7
2014-08-23,Lee's Summit,10,Central (St. Joseph),0
2014-08-23,Odessa,5,Central (St. Joseph),10
2014-08-23,West Platte,5,East Buchanan,0
2014-08-23,North Platte,18,East Buchanan,0
2014-08-23,Lexington,5,East Buchanan,0
2014-08-23,Wright City,1,Eugene,11
2014-08-23,Central (Park Hills),2,Farmington,5
2014-08-23,Union,0,Farmington,15
2014-08-23,Washington,0,Farmington,5
2014-08-23,O'Hara,2,Fayette,17
2014-08-23,Warsaw,4,Fayette,5
2014-08-23,Father Tolton,20,Fredericktown,5
2014-08-23,Jefferson (Festus),9,Fredericktown,8
2014-08-23,North County,9,Fredericktown,0
2014-08-23,Osage,13,Glendale,1
2014-08-23,Branson,19,Glendale,0
2014-08-23,Worth County,3,Hallsville,13
2014-08-23,Montgomery County,13,Hancock,0
2014-08-23,Warsaw,6,Hancock,11
2014-08-23,Worth County,4,Harrisburg,0
2014-08-23,New Bloomfield,16,Harrisburg,1
2014-08-23,Park Hill,0,Harrisonville,7
2014-08-23,Kearney,4,Harrisonville,2
2014-08-23,St. James,6,Hermann,1
2014-08-23,New Haven,2,Hermann,10
2014-08-23,Hancock,3,Hermann,5
2014-08-23,Keytesville,8,Higbee,0
2014-08-23,Reeds Spring,11,Hollister,1
2014-08-23,Father Tolton,7,Jefferson (Festus),5
2014-08-23,Notre Dame (St. Louis),0,John F. Kennedy,2
2014-08-23,St. Pius X (Festus),17,John F. Kennedy,10
2014-08-23,Odessa,0,Lee's Summit,10
2014-08-23,St. Teresa's Academy,3,Lee's Summit North,5
2014-08-23,Liberty,4,Lee's Summit North,1
2014-08-23,Raytown,1,Lee's Summit West,7
2014-08-23,West Platte,4,Lexington,0
2014-08-23,North Platte,17,Lexington,6
2014-08-23,St. Teresa's Academy,2,Liberty,12
2014-08-23,Montgomery County,6,Linn,3
2014-08-23,Pleasant Hope,2,Logan-Rogersville,3
2014-08-23,Iberia,4,Logan-Rogersville,1
2014-08-23,California,2,Marshall,21
2014-08-23,New Franklin,0,Moberly,5
2014-08-23,Pilot Grove,6,Moberly,2
2014-08-23,Eugene,4,Moberly,1
2014-08-23,Schuyler County,5,New Bloomfield,3
2014-08-23,Wright City,4,New Franklin,2
2014-08-23,Father Tolton,4,North County,10
2014-08-23,Jefferson (Festus),10,North County,6
2014-08-23,West Platte,5,North Platte,10
2014-08-23,Fort Osage,9,Oak Grove,5
2014-08-23,St. Charles,1,Oak Grove,13
2014-08-23,Pleasant Hill,8,Oak Park,5
2014-08-23,Raytown,4,Oak Park,2
2014-08-23,California,1,O'Hara,17
2014-08-23,Iberia,8,Osage,3
2014-08-23,Pleasant Hope,3,Osage,2
2014-08-23,Liberty (Wentzville),3,Pacific,15
2014-08-23,Washington,5,Pacific,4
2014-08-23,Kearney,6,Park Hill,2
2014-08-23,Smithville,1,Platte County,2
2014-08-23,William Chrisman,1,Platte County,5
